key,registrationMoment,typeIncident,description,severityLevel,key:crew,key:assignment
# Base entity
activity-log-01,2100/07/01 23:59,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
# Registration Moment - Variaciones (minimo,intermedio,maximo)
activity-log-02,2025/01/06 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-03,2025/01/06 0:01,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-04,2200/12/31 23:58,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-05,2200/12/31 23:59,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
# Type Incident - Variaciones estandar (minimo,intermedio,maximo)
activity-log-06,2100/07/01 23:59,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-07,2100/07/01 23:59,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-08,2100/07/01 23:59,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-09,2100/07/01 23:59,"Lorem ipsum dolor sit amet,consectetur adipiscin","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-10,2100/07/01 23:59,"Lorem ipsum dolor sit amet,consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
# Type Incident - Otros alfabetos
activity-log-11,2100/07/01 23:59,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-12,2100/07/01 23:59,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-13,2100/07/01 23:59,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
# Type Incident - Pruebas de inyección de código,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-14,2100/07/01 23:59,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-15,2100/07/01 23:59,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-16,2100/07/01 23:59,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
# Description - Variaciones estandar (minimo,intermedio,maximo)
activity-log-17,2100/07/01 23:59,Lorem ipsum dolor sit ame,L,5,crew-01,assignment-01
activity-log-18,2100/07/01 23:59,Lorem ipsum dolor sit ame,Lo,5,crew-01,assignment-01
activity-log-19,2100/07/01 23:59,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,crew-01,assignment-01
activity-log-20,2100/07/01 23:59,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5,crew-01,assignment-01
activity-log-21,2100/07/01 23:59,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5,crew-01,assignment-01
# Description - Otros alfabetos
activity-log-22,2100/07/01 23:59,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,5,crew-01,assignment-01
activity-log-23,2100/07/01 23:59,Lorem ipsum dolor sit ame,لوريم إيبسوم,5,crew-01,assignment-01
activity-log-24,2100/07/01 23:59,Lorem ipsum dolor sit ame,洛伦·伊普森,5,crew-01,assignment-01
# Description - Pruebas de inyección de código
activity-log-25,2100/07/01 23:59,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,5,crew-01,assignment-01
activity-log-26,2100/07/01 23:59,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,5,crew-01,assignment-01
activity-log-27,2100/07/01 23:59,Lorem ipsum dolor sit ame,' or 'A' = 'A,5,crew-01,assignment-01
# Severity Level - Variaciones (minimo,intermedio,maximo)
activity-log-28,2100/07/01 23:59,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0,crew-01,assignment-02
activity-log-29,2100/07/01 23:59,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1,crew-01,assignment-02
activity-log-30,2100/07/01 23:59,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10,crew-01,assignment-02
activity-log-31,2100/07/01 23:59,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10,crew-01,assignment-02
