key,name,iata-code,website,airline-type,foundation-moment,email,phone-number
# Base entity
airline-01,SkyHigh Airlines,SHA,https://www.skyhigh.com,LUXURY,2002/09/01 10:00,contact@skyhigh.com,+1234567890
airline-02,BlueWings,BWA,https://www.bluewings.com,STANDARD,2012/09/01 10:00,info@bluewings.com,+441234567890
airline-03,Golden Airways,GDA,https://www.goldenairways.com,LOW_COST,2022/09/01 10:00,info@golden.com,+5521998765432
# Name variation
airline-04,L,SHA,http://lorem.com/ipsum,LUXURY,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-05,Lo,SHA,http://lorem.com/ipsum,LUXURY,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-06,Lorem ipsum dolor sit ame,SHA,http://lorem.com/ipsum,LUXURY,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-07,"Lorem ipsum dolor sit amet, consectetur adipiscin",SHA,http://lorem.com/ipsum,LUXURY,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-08,"Lorem ipsum dolor sit amet, consectetur adipiscing",SHA,http://lorem.com/ipsum,LUXURY,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
# iata-code variation
airline-09,Lorem ipsum dolor sit ame,ZZZ,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-10,Lorem ipsum dolor sit ame,ZZX,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-11,Lorem ipsum dolor sit ame,ZZY,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-12,Lorem ipsum dolor sit ame,ZZW,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-13,Lorem ipsum dolor sit ame,ZZV,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
# web-site variation
