key,name,iata-code,operational-scope,city,country,website,email,contact-phone
# Base entity
airport-00,John F. Kennedy International Airport,JFK,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
# name variations
airport-01,A,AAA,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-02,AB,AAC,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AAD,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-04,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AAE,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-05,洛伦·伊普森,AAF,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-06,โลเร็ม อิปซัม,AAG,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-07,لوريم إيبسوم,AAH,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-08,<script>alert('Hacked');</script>,AAI,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-09,<marquee>Malicious</marquee>,AAJ,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-10,' OR '1'='1,AAK,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
# iata-code variations
airport-11,Aeropuerto Charles de Gaulle,AAL,INTERNATIONAL,Paris,France,https://www.testiata.com,iata@test.com,+33123456789
airport-12,Aeropuerto de Orly,AAM,INTERNATIONAL,Paris,France,https://www.testiata.com,iata@test.com,+33123456789
airport-13,Aeropuerto Le Bourget,AAN,INTERNATIONAL,Le Bourget,France,https://www.testiata.com,iata@test.com,+33123456789
